filepath,theta,phi,turbidity,exposure,elevation,fov
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2qgTnlk0ash96PSG7gdgZQ_F.png,3.452260585,47.69776925,3.5,0.042352,-6.32,61.32
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2qgTnlk0ash96PSG7gdgZQ_B.png,-176.5477394,45.91776925,3.5,0.042352,-8.1,98.62
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2QS7rfv0wHXsRA9sVT1paQ_F.png,20.74297664,77.57920815,4.5,0.027634,-4.58,94.11
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2QS7rfv0wHXsRA9sVT1paQ_B.png,-159.2570234,81.28920815,4.5,0.027634,-0.87,67.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2rYXHV7UlFOk_PDArAGbuA_F.png,-107.296279,86.08536715,3.5,0.035524,2.11,60.27
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2rYXHV7UlFOk_PDArAGbuA_B.png,72.70372104,87.53536715,3.5,0.035524,3.56,97.93
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2RZ6j6X71jNWct9qjq7GUw_F.png,166.6446708,32.93590193,2.5,0.04862,-8.69,94.5
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2RZ6j6X71jNWct9qjq7GUw_B.png,-13.35532925,44.06590193,2.5,0.04862,2.44,89.58
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2s-YAtS_PKZLJJTQZZ5M_A_F.png,-4.138357,61.98331295,4,0.03742,7.26,63.36
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2s-YAtS_PKZLJJTQZZ5M_A_B.png,175.861643,62.22331295,4,0.03742,7.5,99.45
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2s1RGKVIhX19_nOGqEIOqw_F.png,-44.53163885,63.08804974,3.5,0.047776,6.84,97.88
